Plaats,Volgnummer,Puntnaam,Puntnummer,Omschrijving,datum,richting vanuit,X,Y,OriginalPicture,Picture,Opmerkingen,Personen,Voertuigen,Nakijken
Diepenveen,11,Diepenveen 6,330…,Schoorsteen,4 juni 1943,NW,,,Diepenveen 11.jpg,Diepenveen%2011.jpg,,,,x
Hardenberg,7,Hardenberg 19,229...,Transformatorhuisje weg Hardenberg-Mariënberg,24 augustus 1941,W,,,Hardenberg 07.jpg,Hardenberg%2007.jpg,weg Hardenberg- Mariënberg,,,x
Holten,6,Holten 6,289...,Hoogspanningsmast,15 juli 1943,NO,,,Holten 06.jpg,Holten%2006.jpg,Groote Boer,,,x
Lettele,3,Diepenveen 11,270…,Korenmolen Zandbelt,,O,,,Lettele 03.jpg,Lettele%2003.jpg,,,x,x
Meerlo,2,Meerlo 9,520…,Gebouw,1950,O,,,Meerlo 02.jpg,Meerlo%2002.jpg,,,,x
Rijswijk (ZH),3,Rijswijk 4,300…,?,18172,W,,,Rijswijk (ZH) 03.jpg,Rijswijk%20%28ZH%29%2003.jpg,,,,x
Thorn,2,Thorn 3,589…,Schoorsteen,1947,Z,,,Thorn 02.jpg,Thorn%2002.jpg,,,,x
Tilburg,19,Tilburg 15,500801,Toren,12268,ZW,,,Tilburg 19.jpg,Tilburg%2019.jpg,,,,x
Tilburg,20,Tilburg 15,500801,Toren,12268,W,,,Tilburg 20.jpg,Tilburg%2020.jpg,Bomen belemmeren het zicht,,,x
Ubach over Worms,1,Ubach over Worms 11,600…,,1952,NO,,,Ubach over Worms 01.jpg,Ubach%20over%20Worms%2001.jpg,,,,x
Ubach over Worms,2,Ubach over Worms 10,620…,Watertoren Ubach over Worms,,,,,Ubach over Worms 02.jpg,Ubach%20over%20Worms%2002.jpg,,,,
Uden,7,Uden 5,450…,Brigitinessenklooster,,W,,,Uden 07.jpg,Uden%2007.jpg,Rectoraat Vorstenburg,,,x
Uden,8,Uden 4,450…,Missiehuis,,O,,,Uden 08.jpg,Uden%2008.jpg,,,,x
Uden,9,Uden 3,450…,Retraitehuis,,ZW,,,Uden 09.jpg,Uden%2009.jpg,,,,x
Uden,10,Uden 2,450…,Kruisheerenklooster,,ZW,,,Uden 10.jpg,Uden%2010.jpg,,,,x
,,,,,,,,.jpg,,,,,,
