Plaats,Volgnummer,Puntnaam,Puntnummer,Omschrijving,datum,richting vanuit,X,Y,Picture,Opmerkingen,Personen,Voertuigen,Nakijken
Aachen Stadtwald,1,Aachen Stadtwald,620X16,Aussichtsthurm Fahnenstange,23 augustus 1904,W,203380.44,305059.28,Aachen%20%28D%29%2001.jpg,,,x,
Aalst (Gld),1,Brakel 6,440329,H.K. Aalst,,,136964.49,421534.24,Aalst%20%28Gld%29%2001.jpg,Voertuig achterkant zelfde als op Aaien 01,,,
Afferden (GLD),1,,390342,"R.K.K. St. Viktor en Gezellen, Afferden",,,172160.68,432574.43,Afferden%20%28Gld%29%2001.jpg,,,,
Afferden (GLD),3,,390342,"R.K.K. St. Viktor en Gezellen, Afferden",,,172160.68,432574.43,Afferden%20%28Gld%29%2003.jpg,,,,
Amerongen,5,Amerongen 5,390207,Steen Amerongseberg,1980,,161590.81,446630.14,Amerongenseberg%2001.jpg,,,,
Amerongen,6,Amerongen 5,390207,Steen Amerongseberg,1980,,161590.81,446630.14,Amerongenseberg%2002.jpg,,,,
Arcen,1,Arcen en Velden 6,520...,Bierbrouwerij de Vriendenkring,1949,Z,209610.6,388851.28,,,,,
Arcen,2,,520304,Missiehuis St. Paul (recreatiecentrum Klein Vink),,,210330.16,390032.76,,,,,
Axel,8,Axel 5,540X24,Raadhuis Axel,03-Sep-52,ZO,51802.51,365065.92,Axel%2009.jpg,,,,
Babberich,3,Zevenaar 3,400309,Klooster Babberich,1958,Z,205335.47,435464.4,Babberich%2003.jpg,,,,
Bedum,3,Bedum 2,79325,R.K.K. Bedum,,W,236162.81,591261.66,,,,,
Beesel,2,Beesel 2,580205,R.K.K. Beesel, 5 augustus 1932,ZO,200392.78,364435.84,,,,,
Beets (FR),1,Opsterland 23,119316,Voorm. H.K. Beets,,N,199418.05,564583.65,Beets%20%28Fr%29%2001.jpg,,,,
Beets (NH),1,Beets 1,190307,H.K. Beets (NH),,,127314.07,511350.71,Beets%20%28Nh%29%2001.jpg,,,,
Bergsche Heide (L),1,Bergen 18,460303,Zuivelfabriek St. Antonius Abt,1950,O,201696.59,400267.95,Bergsche%20Heide%20%28L%29%2001.jpg,,,X,
Boukoul,3,Swalmen 5 ,580305,R.K.K. Boukoul,1952,ZO,201017.01,358592.67,,,,,
