Plaats,Volgnummer,Puntnaam,Puntnummer,Omschrijving,datum,richting vanuit,X,Y,OriginalPicture,Picture,Opmerkingen,Personen,Voertuigen,Nakijken
Afferden (GLD),2,,390342,"R.K.K. St. Viktor en Gezellen, Afferden",,,172160.68,432574.43,Afferden (Gld) 02.jpg,Afferden%20%28Gld%29%20%2002.jpg,,,,
Afferden (GLD),3,,390342,"R.K.K. St. Viktor en Gezellen, Afferden",,,172160.68,432574.43,Afferden (Gld) 03.jpg,Afferden%20%28Gld%29%2003.jpg,,,,
Babberich,3,Zevenaar 3,400309,Klooster Babberich,1958,Z,205335.47,435464.4,Babberich 03.jpg,Babberich%2003.jpg,,,,
Deil,3,Deil 3,210...,H.K. Rumpt,10 augustus 1917,ZO,140519.5,432916.42,Deil 03.jpg,Deil%2003.jpg,,,,
Deil,4,Deil 6,380803,Brug,,W,138620.31,428809.15,Deil 04.jpg,Deil%2004.jpg,,,,
Groesbeek,13,Molenberg,469...,Steen RD  Molenberg,,NW,192641.85,421829.83,Groesbeek 15.jpg,Groesbeek%2015.jpg,,,,
Groesbeek,14,Molenberg,469...,Steen RD  Molenberg,,W,192641.85,421829.83,Groesbeek 16.jpg,Groesbeek%2016.jpg,,,,
Hengelo (Gld),3,Hengelo 2,330201,Silo ,1967,,218285.97,451664.19,Hengelo (Gld) 04.jpg,Hengelo%20%28Gld%29%2004.jpg,,,,
Hillegersberg,4,Hillegersberg 2,370333,R.K.K. Hillegersberg,15-Sep-32,W,92706.36,440165,Hillegersberg 05.jpg,Hillegersberg%2005.jpg,Statenplein,,,
Kapel Avezaath,1,Zoelen 6,399…,H.K. Kapel Avezaath,,W,154115.97,432691.55,Kapel Avezaath 01.jpg,Kapel%20Avezaath%2001.jpg,,,,
Klazienaveen,6,Emmen 29,189302,G.K. Klazienaveen,4581,,262749.02,527562.29,Klazienaveen 07.jpg,Klazienaveen%2007.jpg,,,,
Marsum,2,Appingedam 4,70327,H.K. Marsum,1942,NNO,254085.79,595822.33,Marssum 07.jpg,Marssum%2007.jpg,,,,
Schoonebeek,1,Oud-Schoonebeek 3,220206,H.K. Schoonebeek,1968,,256270.56,520479.06,Schoonebeek 05.jpg,Schoonebeek%2005.jpg,,,,
Schoonebeek,2,Schoonebeek 1,220…,G.K. Schoonebeek,,NW,255928.1,520625.55,Schoonebeek 06.jpg,Schoonebeek%2006.jpg,,,,
Sweikhuizen,1,Schinnen 10,609…,R.K.K. Sweikhuizen,,,187269.57,329392.48,Sweikhuizen 01.jpg,Sweikhuizen%2001.jpg,,,,
,,,,,,,,.jpg,,,,,,
