Plaats,Volgnummer,Puntnaam,Puntnummer,Omschrijving,datum,richting vanuit,X,Y,Picture,Opmerkingen,Personen,Voertuigen,Nakijken
Aachen Stadtwald,1,Aachen Stadtwald,620X16,Aussichtsthurm Fahnenstange,23 augustus 1904,W,203380.44,305059.28,Aachen%20%28D%29%2001.jpg,,,x,
Aagtekerke,1,Aagtekerke,489320,H.K. Aagtekerke,augustus 1939,ZW,24808.42,396968.93,Aagtekerke%2001.jpg,,,,
Aaien,1,Bergen (L) 16,520...,R.K.Kapel,1950,N,200563.94,399802.14,Aaien%2001.jpg,Achterkant voertuig kenteken HZ 80842; Sint Antoniuskapel,,,
Aalburg,1,Wijk (NB) 3,440207,H.K. Aalburg,1946,Z,137327.9,419074.07,Aalburg%2001.jpg,Toren door oorlogsgeweld beschadigd; achterkant zelfde auto als op Aaien 01,,x,
Aalburg,2,Wijk (NB) 3,440207,H.K. Aalburg,1953,Z,137327.9,419074.07,Aalburg%2002.jpg,"Toren opgelapt, schade nog wel zichtbaar",,,
Aalden,1,Zweeloo 3,170306,Stoomzuivelfabriek en korenmalerij Aalden,1949,,245074.29,534606.04,Aalden%2001.jpg,,,,
Aalden,2,Zweeloo 3,170306,Coöp. Fabriek Zweeloo,1982,,245074.29,534606.04,Aalden%2002.jpg,,,,
Aalsmeer,1,Aalsmeer 3,259...,R.K.K. Paters Carmelieten,oktober 1935,Z,111655.7,475301.29,Aalsmeer%2001.jpg,,,,
Aalsmeer,2,Aalsmeer 1,259112,H.K. Aalsmeer,9 augustus 1900,NW,111229,476020.99,Aalsmeer%2002.jpg,,,,
Aalsmeer,3,Aalsmeer 1,259112,H.K. Aalsmeer,,,111229,476020.99,Aalsmeer%2003.jpg,,,,
Aalsmeer,4,Aalsmeer 1,259112,H.K. Aalsmeer,mei 1950,NO,111229,476020.99,Aalsmeer%2004.jpg,,,,
Aalsmeer,5,Aalsmeer 1,259112,H.K. Aalsmeer,mei 1950,W,111229,476020.99,Aalsmeer%2005.jpg,,,,
Aalsmeer,6,Aalsmeer 2,319325,Watertoren Aalsmeer,1976,Z,112006.79,474291.48,Aalsmeer%2006.jpg,,,,
Aalsmeer,7,Aalsmeer 2,319325,Watertoren Aalsmeer,,O,112006.79,474291.48,Aalsmeer%2007.jpg,,,,
Aalst (Gld),1,Brakel 6,440329,H.K. Aalst,,,136964.49,421534.24,Aalst%20%28Gld%29%2001.jpg,Voertuig achterkant zelfde als op Aaien 01,,,
Aalst (NBr),1,Aalst (NBr) 2,510304,R.K.K. Aalst,,,161241.36,378600.22,Aalst%20%28NBr%29%2001.jpg,,,,
Aalst (NBr),2,Aalst (NBr) 2,510304,R.K.K. Aalst,11895,N,161241.36,378600.22,Aalst%20%28NBr%29%2002.jpg,,,,
Aalten,1,Aalten 10,419205,Watertoren Aalten,,,236780.7,438895.75,Aalten%2001.jpg,,,,
Aalten,2,Aalten 1,419…,H.K. Aalten,,NW,237112.57,438259.2,Aalten%2002.jpg,,,,
Aalten,3,Aalten 1,419…,H.K. Aalten,17 augustus 1899,NW,237112.57,438259.2,Aalten%2003.jpg,is punt 166 inventaris 4129,,,
Aardenburg,1,Aardenburg 7,530...,R.K.K. Aardenburg,,,19327.94,366795.54,Aardenburg%2001.jpg,Blad 53,,,
Aardenburg,2,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",augustus 1957,Z,19684.79,366661.48,Aardenburg%2002.jpg,,,,
Aardenburg,3,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",7 juni 1952,ZW,19684.79,366661.48,Aardenburg%2003.jpg,,,,
Aardenburg,4,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",12-Sep-46,ZW,19684.79,366661.48,Aardenburg%2004.jpg,,,,
Aardenburg,5,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",,,19684.79,366661.48,Aardenburg%2005.jpg,,,,
Aardenburg,6,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",Sep-50,W,19684.79,366661.48,Aardenburg%2006.jpg,,,,
Aardenburg,7,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",juni 1952,ZW,19684.79,366661.48,Aardenburg%2007.jpg,,,x,
Aardenburg,8,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",,,19684.79,366661.48,Aardenburg%2008.jpg,,,,
