"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","524","1","32c1a637-f2bd-4350-8be6-2a54a7225668","https://surfdrive.surf.nl/files/index.php/s/xskIw5cVL37umsk/download?path=%2FB&files=Babyloni%C3%A2nbroek+01.jpg","","babylonienbroek","","","","","-1","524","",""
"Image","1280","1","66a8a4e4-7579-4729-bed3-fb8ef43f048c","https://surfdrive.surf.nl/files/index.php/s/xskIw5cVL37umsk/download?path=%2FD&files=D%C3%85ffelward+%28Dld%29+01.jpg","","dueffelward-(dld)","","","","","-1","1280","",""
"Image","1281","1","46682c0e-67be-498e-a4bd-65d48d94bda9","https://surfdrive.surf.nl/files/index.php/s/xskIw5cVL37umsk/download?path=%2FD&files=D%C3%85ffelward+%28Dld%29+02.jpg","","dueffelward-(dld)","","","","","-1","1281","",""
"Image","2782","1","c123c327-0799-4591-8d92-48c2310c8ac0","https://surfdrive.surf.nl/files/index.php/s/xskIw5cVL37umsk/download?path=%2FH&files=H%C3%85them+%28Dld%29+01.jpg","","huethem-(dld)","","","","","-1","2782","",""
"Image","4292","1","f5af66f2-d107-4aa3-ad78-175752da5dd3","https://surfdrive.surf.nl/files/index.php/s/xskIw5cVL37umsk/download?path=%2FM&files=Mari%C3%A2nberg%2001.jpg","","marienberg","","","","","-1","4292","",""
"Image","4293","1","3f721d17-b2fe-4fa6-b6c8-bd8fbcebbea9","https://surfdrive.surf.nl/files/index.php/s/xskIw5cVL37umsk/download?path=%2FM&files=Mari%C3%A2nberg%2002.jpg","","marienberg","","","","","-1","4293","",""
"Image","4294","1","51def551-df46-4bea-b61e-47a593504512","https://surfdrive.surf.nl/files/index.php/s/xskIw5cVL37umsk/download?path=%2FM&files=Mari%C3%A2nberg%2003.jpg","","marienberg","","","","","-1","4294","",""
"Image","4295","1","d1a618e0-9915-43fe-b463-5d380a7dd8f2","https://surfdrive.surf.nl/files/index.php/s/xskIw5cVL37umsk/download?path=%2FM&files=Mari%C3%A2nvelde%2001.jpg","","marienvelde","","","","","-1","4295","",""
"Image","4296","1","c9eb4df3-138e-4c11-8373-87cef368066b","https://surfdrive.surf.nl/files/index.php/s/xskIw5cVL37umsk/download?path=%2FM&files=Mari%C3%A2nvelde%2002.jpg","","marienvelde","","","","","-1","4296","",""
"Image","5070","1","218a85b7-f71a-45cd-bcf9-2268b3627a86","https://surfdrive.surf.nl/files/index.php/s/xskIw5cVL37umsk/download?path=%2FO&files=Oh%C3%87%2001.jpg","","ohe","","","","","-1","5070","",""
